typhoon_name,time,field_index,lat,lon_180,WND,PRES,move_dir_deg,geo_rain_max_mmhr,geo_rain_p95_mmhr_nonzero,geo_area_10_km2,geo_area_20_km2,geo_volume_proxy_mm_km2,geo_max_rain_lon,geo_max_rain_lat
KONG-REY,2024-10-26 05:30:00,71,16.491666793823242,136.3000030517578,18.0,998.0,274.9811096191406,31.637832641601562,2.188062906265259,41592.516221014244,6213.239067703743,1098461.233248215,134.3,15.4
KONG-REY,2024-10-26 06:00:00,72,16.5,136.1999969482422,18.0,998.0,274.9813232421875,30.749605178833008,2.1610355377197266,41231.00728541423,5973.841259959507,1086183.6257204316,134.2,15.4
KONG-REY,2024-10-26 06:30:00,73,16.516666412353516,136.0749969482422,18.0,998.0,277.93487548828125,24.827722549438477,2.402188301086426,43387.006932505225,6095.85733585219,1149272.1527162788,136.2,15.4
KONG-REY,2024-10-26 07:00:00,74,16.53333282470703,135.9499969482422,18.0,998.0,277.935546875,28.452529907226562,2.34490704536438,41866.13306062149,8494.777060248347,1168010.0257401844,134.8,15.0
KONG-REY,2024-10-26 07:30:00,75,16.549999237060547,135.8249969482422,18.0,998.0,277.9362487792969,29.916128158569336,2.330695629119873,39351.624705028706,8256.86092282015,1136765.9925292674,134.7,14.9
KONG-REY,2024-10-26 08:00:00,76,16.566667556762695,135.6999969482422,18.0,998.0,277.93695068359375,31.650972366333008,2.301513910293579,37797.12319221009,8019.230682245468,1124027.7671602922,134.8,14.9
KONG-REY,2024-10-26 08:30:00,77,16.58333396911621,135.5749969482422,18.0,998.0,277.9376525878906,31.53650665283203,2.2818403244018555,37553.97044371195,6822.58735580491,1112352.8094094663,134.60000000000002,14.9
KONG-REY,2024-10-26 09:00:00,78,16.600000381469727,135.4499969482422,18.0,998.0,277.9383239746094,32.178279876708984,2.292764186859131,36602.065847494356,9456.613465890865,1135179.3057255554,134.3,15.1
KONG-REY,2024-10-26 09:30:00,79,16.616666793823242,135.3249969482422,18.0,998.0,277.93902587890625,32.57173538208008,2.325385332107544,36828.29744133745,11126.213969760256,1151309.6635167648,134.2,15.1
KONG-REY,2024-10-26 10:00:00,80,16.633333206176758,135.1999969482422,18.0,998.0,277.9397277832031,32.94930648803711,2.3310840129852295,37893.38747292533,14825.990188445277,1168898.0735399819,133.60000000000002,15.4
KONG-REY,2024-10-26 10:30:00,81,16.649999618530273,135.0749969482422,18.0,998.0,277.9404296875,33.32506561279297,2.3396637439727783,37764.7824633043,16016.306994497758,1177408.1773043661,133.3,15.0
KONG-REY,2024-10-26 11:00:00,82,16.66666603088379,134.9499969482422,18.0,998.0,277.9411315917969,34.984832763671875,2.2546591758728027,37288.59557649858,14824.266064469117,1164325.037097927,133.2,15.0
KONG-REY,2024-10-26 11:30:00,83,16.683332443237305,134.8249969482422,18.0,998.0,277.9418029785156,33.76605224609375,2.240346908569336,36807.16384542431,15416.093086702575,1164779.504171658,133.10000000000002,15.1
KONG-REY,2024-10-26 12:00:00,84,16.700000762939453,134.6999969482422,18.0,998.0,277.9425048828125,32.720428466796875,2.311600685119629,36917.26076991831,14575.58622005662,1170238.8137508647,133.0,15.2
KONG-REY,2024-10-26 12:30:00,85,16.700000762939453,134.59165954589844,18.0,998.0,270.01556396484375,36.70071029663086,2.281208038330078,40628.13641204985,17195.25400686877,1197504.4530911825,132.8,15.9
KONG-REY,2024-10-26 13:00:00,86,16.700000762939453,134.48333740234375,18.0,998.0,270.01556396484375,36.35655975341797,2.2684216499328613,42436.89432856461,20668.641023255142,1216295.0326294468,132.7,15.9
KONG-REY,2024-10-26 13:30:00,87,16.700000762939453,134.375,18.0,998.0,270.01556396484375,36.52204513549805,2.2312021255493164,41122.53695322409,22465.319923819006,1200285.055484281,132.60000000000002,15.9
KONG-REY,2024-10-26 14:00:00,88,16.700000762939453,134.26666259765625,18.0,998.0,270.01556396484375,36.765926361083984,2.1928353309631348,40414.70088612485,19359.576692727733,1174417.1135529054,132.5,15.8
KONG-REY,2024-10-26 14:30:00,89,16.700000762939453,134.15834045410156,18.0,998.0,270.01556396484375,36.45867919921875,2.18985652923584,40414.46532750112,19599.25092622717,1175644.9944198926,132.39999999999998,15.8
KONG-REY,2024-10-26 15:00:00,90,16.700000762939453,134.0500030517578,18.0,998.0,270.01556396484375,39.773826599121094,2.197202444076538,40286.81728280999,15639.920202083487,1178559.584720846,132.3,15.8
KONG-REY,2024-10-26 15:30:00,91,16.700000762939453,133.94166564941406,18.0,998.0,270.01556396484375,41.20068359375,2.214141607284546,38360.60348038681,11339.505791875234,1158920.0354168375,132.5,15.4
KONG-REY,2024-10-26 16:00:00,92,16.700000762939453,133.8333282470703,18.0,998.0,270.01556396484375,40.72650146484375,2.292146921157837,39694.80390270096,14577.664510933973,1196580.7010129911,132.3,15.5
KONG-REY,2024-10-26 16:30:00,93,16.700000762939453,133.72500610351562,18.0,998.0,270.01556396484375,46.17146301269531,2.2773597240448,39569.26577386602,13619.095955426683,1171785.0144047057,132.10000000000002,15.5
KONG-REY,2024-10-26 17:00:00,94,16.700000762939453,133.61666870117188,18.0,998.0,270.01556396484375,46.85078048706055,2.340087413787842,39930.69436998263,14343.38032861355,1174058.2029925424,132.0,15.5
KONG-REY,2024-10-26 17:30:00,95,16.700000762939453,133.50833129882812,18.0,998.0,270.01556396484375,48.10485076904297,2.300596237182617,39239.556488669536,14357.32191784666,1152460.8916165142,131.89999999999998,15.5
KONG-REY,2024-10-26 18:00:00,96,16.700000762939453,133.39999389648438,18.0,998.0,270.01556396484375,46.507198333740234,2.2792720794677734,39861.78571207786,18439.20384098948,1200344.1796054922,131.8,15.5
KONG-REY,2024-10-26 18:30:00,97,16.700000762939453,133.3333282470703,18.0,998.0,270.00958251953125,38.955848693847656,2.096747398376465,37073.53105520326,10289.073568012078,1103699.4567643215,132.89999999999998,15.3
KONG-REY,2024-10-26 19:00:00,98,16.700000762939453,133.26666259765625,18.0,998.0,270.00958251953125,41.218814849853516,2.1044580936431885,37194.24847082816,10527.793078150833,1104909.6533551568,132.8,15.3
KONG-REY,2024-10-26 19:30:00,99,16.700000762939453,133.1999969482422,18.0,998.0,270.00958251953125,40.173500061035156,2.0741052627563477,36715.49149013833,9331.057117418623,1093877.3385614816,132.8,15.3
KONG-REY,2024-10-26 20:00:00,100,16.700000762939453,133.13333129882812,18.0,998.0,270.00958251953125,40.0431022644043,1.9946368932724,36596.554332382846,9690.639582518172,1073523.6320536488,132.7,15.2
