field_index,scenario_id,scenario_name,time,rainband_width_km,rainband_length_km,rainband_aspect_ratio,rainband_width10_km,rainband_length10_km,rainband_aspect_ratio10,rainband_valid_grid_count,rainband_weight_sum,rainband10_valid_grid_count,rainband10_weight_sum
671,S1,intensity_enhanced,2024-10-29 23:00:00,469.81571080804184,515.0397433217482,1.0962590894117268,257.63169969880306,284.2096227286434,1.1031624720906295,3506,23012.028188347816,706,13128.748552322388
672,S1,intensity_enhanced,2024-10-29 23:30:00,469.01939384586274,518.6624824190527,1.1058444261038456,251.06134516509175,283.18956670664414,1.1279696064737665,3625,23490.530538916588,686,13095.948791503906
673,S1,intensity_enhanced,2024-10-30 00:00:00,468.53675593077264,517.4899469517902,1.1044810047480018,250.64996594737062,282.913865996089,1.128720943275499,3621,23479.40672504902,684,13086.02048778534
674,S1,intensity_enhanced,2024-10-30 00:30:00,514.7890406339053,555.6332201883992,1.0793415871950143,230.8169620542848,252.89899045244704,1.0956690019729476,4506,23231.742902994156,563,11001.015542030334
675,S1,intensity_enhanced,2024-10-30 01:00:00,515.5664549879726,544.2793914974613,1.0556920184230323,238.6243540067096,251.1215924784581,1.0523720159401502,4434,23479.817303299904,576,11353.296199798584
676,S1,intensity_enhanced,2024-10-30 01:30:00,516.0350687724576,544.5872729215388,1.0553299685949638,238.36085471962684,251.0158275424623,1.0530916573433162,4437,23467.917711257935,575,11328.418087005615
677,S1,intensity_enhanced,2024-10-30 02:00:00,516.4936429503356,545.016186590769,1.0552234166475019,238.30761632546682,251.46961272819712,1.0552311193644492,4444,23489.416856646538,576,11348.676199913025
678,S1,intensity_enhanced,2024-10-30 02:30:00,514.8520864148799,544.0465184705142,1.05670450373218,238.3032624336818,248.2924190084275,1.041917833909322,4485,24037.780336141586,575,11778.479006767273
679,S1,intensity_enhanced,2024-10-30 03:00:00,514.1489291271488,537.6640266500224,1.045735965185794,241.78967788196107,249.58257217752083,1.032230053672362,4433,24093.218107700348,585,12022.128370285034
680,S1,intensity_enhanced,2024-10-30 03:30:00,514.3939603630299,538.1410031340413,1.0461650886302223,241.79181865078726,249.58409299272063,1.0322272043173903,4437,24119.05405664444,585,12024.066408157349
681,S1,intensity_enhanced,2024-10-30 04:00:00,514.4450798603277,538.2247581693117,1.0462239396194422,241.42217837124542,250.04603554289756,1.0357210643604988,4436,24123.24867606163,585,12021.494503974915
682,S1,intensity_enhanced,2024-10-30 04:30:00,515.9680138972457,545.6836046483545,1.0575919242099097,246.40771737372756,252.73634206268747,1.0256835490235894,4487,24388.04094016552,602,12099.200390815735
683,S1,intensity_enhanced,2024-10-30 05:00:00,515.855550371325,545.9542471719487,1.0583471415185064,246.43728701723785,253.0243607525492,1.0267292089400804,4489,24407.58683657646,603,12123.26104259491
684,S1,intensity_enhanced,2024-10-30 05:30:00,515.7655899235037,545.9592330862633,1.0585414067022902,246.42446578043229,253.71755801140316,1.0295956499606176,4489,24432.458889603615,605,12158.114832878113
685,S1,intensity_enhanced,2024-10-30 06:00:00,515.5604273340205,545.9371409149628,1.0589197928514806,246.18259523792804,253.58797164559581,1.0300808284213174,4487,24447.15556514263,604,12166.67633342743
686,S1,intensity_enhanced,2024-10-30 06:30:00,515.1505940085217,540.3363241762037,1.0488900342164107,258.3292120049841,261.8673996568226,1.0136964287715524,4411,24268.69498026371,644,12229.54928970337
687,S1,intensity_enhanced,2024-10-30 07:00:00,514.454000666507,543.0451729730322,1.0555757604557112,260.1914633612247,266.10382949861554,1.0227231364973017,4415,24685.94996535778,658,12492.942548751831
688,S1,intensity_enhanced,2024-10-30 07:30:00,514.5869735449911,543.1535520988599,1.055513606100583,259.9693878421929,266.333906638826,1.0244818009130194,4416,24708.935206770897,660,12534.281281471252
689,S1,intensity_enhanced,2024-10-30 08:00:00,515.7649597240145,546.9061007040006,1.0603785511071722,256.91459226141774,272.4319155688356,1.0603987619808979,4475,25192.008672952652,670,12895.505666732788
690,S1,intensity_enhanced,2024-10-30 08:30:00,513.7497032516413,542.4033919451493,1.055773635511906,263.57547545605985,279.5049941149449,1.0604362702232497,4399,25386.0738196373,701,13174.856217384338
691,S1,intensity_enhanced,2024-10-30 09:00:00,511.090435461579,550.9268945703401,1.0779440512769187,269.0730903232168,292.6885231947951,1.0877658663049872,4412,25226.01210474968,719,13043.652048110962
692,S1,intensity_enhanced,2024-10-30 09:30:00,501.57057794852807,548.7237139622338,1.0940109689180044,265.9158022900825,287.1979786397003,1.0800335149935931,4180,24392.392197728157,679,12363.41173362732
